Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,day,acq_time_str,hours,minutes,season,region_cluster,cluster_fire_count,monthly_cluster_fire_count,brightness_diff,high_risk,frp_category
445385,25.2645,90.8448,311.2,1.0,1.0,2022-03-03,439,0,MODIS,61,6.03,299.3,7.3,1,0,2022,3,3,439,4,39,2,8,33148,19990,11.899999999999975,0,Low
64479,31.2565,74.5658,315.5,2.8,1.6,2017-10-26,741,1,MODIS,69,6.2,300.7,30.9,1,0,2017,10,26,741,7,41,4,0,167610,39610,14.800000000000011,0,High
613196,25.6223,90.9698,313.8,1.7,1.3,2024-03-12,804,1,MODIS,51,61.03,298.8,13.1,1,0,2024,3,12,804,8,4,2,8,33148,19990,15.0,0,Medium
764535,23.0689,87.7169,306.6,1.0,1.0,2025-12-26,855,1,MODIS,41,61.03,295.9,4.4,1,2,2025,12,26,855,8,55,1,12,49232,8420,10.700000000000044,0,Low
243901,27.3578,81.9002,313.3,1.0,1.0,2019-11-15,752,1,MODIS,55,6.03,302.1,5.5,1,0,2019,11,15,752,7,52,4,7,41741,5012,11.199999999999989,0,Low
47862,18.6445,81.0866,328.4,1.4,1.2,2017-04-24,744,1,MODIS,50,6.2,312.0,15.6,1,0,2017,4,24,744,7,44,2,13,47964,11656,16.399999999999977,0,Medium
426166,30.6291,74.722,322.1,1.9,1.3,2021-11-12,842,1,MODIS,76,6.03,302.0,32.3,1,0,2021,11,12,842,8,42,4,0,167610,73042,20.100000000000023,0,High
271175,18.7927,83.1006,325.9,1.2,1.1,2020-04-01,520,0,MODIS,70,6.03,307.3,19.0,1,0,2020,4,1,520,5,20,2,13,47964,11656,18.59999999999997,0,Medium
208600,21.25,79.5185,325.5,2.1,1.4,2019-04-18,550,0,MODIS,61,6.03,304.7,18.9,1,0,2019,4,18,550,5,50,2,5,47348,16741,20.80000000000001,0,Medium
615351,24.7971,93.5396,317.1,1.3,1.1,2024-03-14,748,1,MODIS,27,61.03,297.9,13.7,1,0,2024,3,14,748,7,48,2,2,57778,42248,19.200000000000045,0,Medium
484419,14.5701,78.9622,328.5,1.0,1.0,2022-04-30,518,0,MODIS,46,6.03,306.7,12.9,1,0,2022,4,30,518,5,18,2,14,36148,3614,21.80000000000001,0,Medium
701387,25.7267,91.9778,318.0,1.0,1.0,2025-03-16,814,1,MODIS,60,61.03,305.9,7.0,1,0,2025,3,16,814,8,14,2,8,33148,19990,12.100000000000025,0,Low
355187,25.9728,90.6012,312.6,1.0,1.0,2021-03-15,715,1,MODIS,45,6.03,297.3,4.6,1,0,2021,3,15,715,7,15,2,8,33148,19990,15.300000000000011,0,Low
470431,22.6784,77.5998,309.1,1.4,1.2,2022-04-04,1713,0,MODIS,73,6.03,291.8,13.2,0,0,2022,4,4,1713,17,13,2,4,76528,39620,17.30000000000001,0,Medium
